Alpha,0.1,,,,,,,,,,,,,,,,,,
,k --> ,,,,,,,,,,,,,,,,,,
df,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.929,13.437,16.358,18.488,20.15,21.504,22.642,23.621,24.477,25.237,25.918,26.536,27.1,27.618,28.097,28.542,28.958,29.347,29.713
2,4.129,5.733,6.772,7.538,8.139,8.633,9.049,9.409,9.725,10.006,10.259,10.488,10.698,10.891,11.07,11.237,11.392,11.538,11.676
3,3.328,4.467,5.199,5.738,6.162,6.511,6.806,7.062,7.287,7.487,7.667,7.831,7.982,8.12,8.248,8.368,8.479,8.584,8.683
4,3.015,3.976,4.586,5.035,5.388,5.679,5.926,6.139,6.327,6.494,6.645,6.783,6.909,7.025,7.132,7.233,7.326,7.414,7.497
5,2.85,3.717,4.264,4.664,4.979,5.238,5.458,5.648,5.816,5.965,6.1,6.223,6.336,6.439,6.536,6.626,6.71,6.788,6.863
6,2.748,3.558,4.065,4.435,4.726,4.966,5.168,5.344,5.499,5.637,5.762,5.875,5.979,6.075,6.164,6.247,6.325,6.398,6.466
7,2.679,3.451,3.931,4.28,4.555,4.78,4.971,5.137,5.283,5.413,5.53,5.637,5.735,5.826,5.91,5.988,6.061,6.13,6.195
8,2.63,3.374,3.834,4.169,4.431,4.646,4.829,4.987,5.126,5.25,5.362,5.464,5.558,5.644,5.724,5.799,5.869,5.935,5.997
9,2.592,3.316,3.761,4.084,4.337,4.545,4.721,4.873,5.007,5.126,5.234,5.333,5.423,5.506,5.583,5.655,5.722,5.786,5.845
10,2.563,3.27,3.704,4.018,4.264,4.465,4.636,4.783,4.913,5.029,5.134,5.229,5.316,5.397,5.472,5.542,5.607,5.668,5.726
11,2.54,3.234,3.658,3.965,4.205,4.401,4.567,4.711,4.838,4.951,5.053,5.145,5.231,5.309,5.382,5.45,5.514,5.573,5.63
12,2.521,3.204,3.621,3.921,4.156,4.349,4.511,4.652,4.776,4.886,4.986,5.076,5.16,5.236,5.308,5.374,5.436,5.495,5.55
13,2.504,3.179,3.589,3.885,4.116,4.304,4.464,4.602,4.724,4.832,4.93,5.019,5.1,5.175,5.245,5.31,5.371,5.429,5.483
14,2.491,3.158,3.563,3.854,4.081,4.267,4.424,4.56,4.679,4.786,4.882,4.969,5.05,5.124,5.192,5.256,5.316,5.372,5.426
15,2.479,3.14,3.54,3.828,4.052,4.235,4.39,4.524,4.641,4.746,4.841,4.927,5.006,5.079,5.146,5.209,5.268,5.324,5.376
16,2.469,3.124,3.52,3.804,4.026,4.207,4.36,4.492,4.608,4.712,4.805,4.89,4.968,5.04,5.106,5.169,5.227,5.282,5.333
17,2.46,3.11,3.503,3.784,4.003,4.182,4.334,4.464,4.579,4.681,4.774,4.857,4.934,5.005,5.071,5.133,5.19,5.244,5.295
18,2.452,3.098,3.487,3.766,3.984,4.161,4.31,4.44,4.553,4.654,4.746,4.829,4.905,4.975,5.04,5.101,5.158,5.211,5.262
19,2.445,3.087,3.474,3.751,3.966,4.142,4.29,4.418,4.53,4.63,4.721,4.803,4.878,4.948,5.012,5.072,5.129,5.182,5.232
20,2.439,3.077,3.462,3.736,3.95,4.124,4.271,4.398,4.51,4.609,4.699,4.78,4.855,4.923,4.987,5.047,5.103,5.155,5.205
21,2.433,3.069,3.451,3.724,3.936,4.109,4.255,4.38,4.491,4.59,4.678,4.759,4.833,4.901,4.965,5.024,5.079,5.131,5.18
22,2.428,3.061,3.441,3.712,3.923,4.095,4.239,4.364,4.474,4.572,4.66,4.74,4.814,4.882,4.944,5.003,5.058,5.109,5.158
23,2.424,3.054,3.432,3.701,3.911,4.082,4.226,4.35,4.459,4.556,4.644,4.723,4.796,4.863,4.926,4.984,5.038,5.089,5.138
24,2.42,3.047,3.423,3.692,3.9,4.07,4.213,4.336,4.445,4.541,4.628,4.707,4.78,4.847,4.909,4.966,5.02,5.071,5.119
25,2.416,3.041,3.416,3.683,3.89,4.059,4.201,4.324,4.432,4.528,4.614,4.693,4.765,4.831,4.893,4.95,5.004,5.055,5.102
26,2.412,3.036,3.409,3.675,3.881,4.049,4.191,4.313,4.42,4.515,4.601,4.68,4.751,4.817,4.878,4.936,4.989,5.039,5.086
27,2.409,3.03,3.402,3.667,3.873,4.04,4.181,4.302,4.409,4.504,4.59,4.667,4.739,4.804,4.865,4.922,4.975,5.025,5.072
28,2.406,3.026,3.396,3.66,3.865,4.032,4.172,4.293,4.399,4.493,4.579,4.656,4.727,4.792,4.853,4.909,4.962,5.012,5.058
29,2.403,3.021,3.391,3.654,3.858,4.024,4.163,4.284,4.389,4.484,4.568,4.645,4.716,4.781,4.841,4.897,4.95,4.999,5.046
30,2.4,3.017,3.386,3.648,3.851,4.016,4.155,4.275,4.381,4.474,4.559,4.635,4.706,4.77,4.83,4.886,4.939,4.988,5.034
31,2.398,3.013,3.381,3.642,3.845,4.009,4.148,4.268,4.372,4.466,4.55,4.626,4.696,4.76,4.82,4.876,4.928,4.977,5.023
32,2.396,3.01,3.376,3.637,3.839,4.003,4.141,4.26,4.365,4.458,4.541,4.617,4.687,4.751,4.811,4.866,4.918,4.967,5.013
33,2.393,3.006,3.372,3.632,3.833,3.997,4.135,4.253,4.357,4.45,4.533,4.609,4.679,4.743,4.802,4.857,4.909,4.957,5.003
34,2.391,3.003,3.368,3.627,3.828,3.991,4.129,4.247,4.351,4.443,4.526,4.602,4.671,4.734,4.794,4.849,4.9,4.949,4.994
35,2.389,3,3.364,3.623,3.823,3.986,4.123,4.241,4.344,4.436,4.519,4.594,4.663,4.727,4.786,4.841,4.892,4.94,4.986
36,2.388,2.998,3.361,3.619,3.819,3.981,4.117,4.235,4.338,4.43,4.512,4.588,4.656,4.72,4.778,4.833,4.884,4.932,4.978
37,2.386,2.995,3.357,3.615,3.814,3.976,4.112,4.23,4.332,4.424,4.506,4.581,4.65,4.713,4.771,4.826,4.877,4.925,4.97
38,2.384,2.992,3.354,3.611,3.81,3.972,4.107,4.224,4.327,4.418,4.5,4.575,4.643,4.706,4.765,4.819,4.87,4.918,4.963
39,2.383,2.99,3.351,3.608,3.806,3.967,4.103,4.22,4.322,4.413,4.495,4.569,4.637,4.7,4.758,4.812,4.863,4.911,4.956
40,2.381,2.988,3.348,3.605,3.802,3.963,4.099,4.215,4.317,4.408,4.49,4.564,4.632,4.694,4.752,4.806,4.857,4.904,4.949
48,2.372,2.973,3.33,3.583,3.778,3.937,4.07,4.185,4.285,4.375,4.455,4.528,4.595,4.656,4.713,4.766,4.816,4.863,4.907
60,2.363,2.959,3.312,3.562,3.755,3.911,4.042,4.155,4.254,4.342,4.421,4.493,4.558,4.619,4.675,4.727,4.775,4.821,4.864
80,2.353,2.945,3.294,3.541,3.731,3.885,4.014,4.125,4.223,4.309,4.387,4.457,4.521,4.581,4.636,4.687,4.735,4.78,4.822
120,2.344,2.93,3.276,3.52,3.707,3.859,3.986,4.096,4.191,4.276,4.353,4.422,4.485,4.543,4.597,4.647,4.694,4.738,4.779
240,2.335,2.916,3.258,3.499,3.684,3.834,3.959,4.066,4.16,4.244,4.319,4.386,4.448,4.505,4.558,4.607,4.653,4.696,4.737
Inf,2.326,2.902,3.24,3.478,3.661,3.808,3.931,4.037,4.129,4.211,4.285,4.351,4.412,4.468,4.519,4.568,4.612,4.654,4.694
,,,,,,,,,,,,,,,,,,,
Alpha,0.05,,,,,,,,,,,,,,,,,,
,k --> ,,,,,,,,,,,,,,,,,,
df,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,17.969,26.976,32.819,37.082,40.408,43.119,45.397,47.357,49.071,50.592,51.957,53.194,54.323,55.361,56.32,57.212,58.044,58.824,59.558
2,6.085,8.331,9.798,10.881,11.734,12.435,13.027,13.539,13.988,14.389,14.749,15.076,15.375,15.65,15.905,16.143,16.365,16.573,16.769
3,4.501,5.91,6.825,7.502,8.037,8.478,8.852,9.177,9.462,9.717,9.946,10.155,10.346,10.522,10.686,10.838,10.98,11.114,11.24
4,3.926,5.04,5.757,6.287,6.706,7.053,7.347,7.602,7.826,8.027,8.208,8.373,8.524,8.664,8.793,8.914,9.027,9.133,9.233
5,3.635,4.602,5.218,5.673,6.033,6.33,6.582,6.801,6.995,7.167,7.323,7.466,7.596,7.716,7.828,7.932,8.03,8.122,8.208
6,3.46,4.339,4.896,5.305,5.628,5.895,6.122,6.319,6.493,6.649,6.789,6.917,7.034,7.143,7.244,7.338,7.426,7.508,7.586
7,3.344,4.165,4.681,5.06,5.359,5.606,5.815,5.997,6.158,6.302,6.431,6.55,6.658,6.759,6.852,6.939,7.02,7.097,7.169
8,3.261,4.041,4.529,4.886,5.167,5.399,5.596,5.767,5.918,6.053,6.175,6.287,6.389,6.483,6.571,6.653,6.729,6.801,6.869
9,3.199,3.948,4.415,4.755,5.024,5.244,5.432,5.595,5.738,5.867,5.983,6.089,6.186,6.276,6.359,6.437,6.51,6.579,6.643
10,3.151,3.877,4.327,4.654,4.912,5.124,5.304,5.46,5.598,5.722,5.833,5.935,6.028,6.114,6.194,6.269,6.339,6.405,6.467
11,3.113,3.82,4.256,4.574,4.823,5.028,5.202,5.353,5.486,5.605,5.713,5.811,5.901,5.984,6.062,6.134,6.202,6.265,6.325
12,3.081,3.773,4.199,4.508,4.75,4.95,5.119,5.265,5.395,5.51,5.615,5.71,5.797,5.878,5.953,6.023,6.089,6.151,6.209
13,3.055,3.734,4.151,4.453,4.69,4.884,5.049,5.192,5.318,5.431,5.533,5.625,5.711,5.789,5.862,5.931,5.995,6.055,6.112
